step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,20,1753095204.5558126,20,32,32,114,31,0.0,0.0,251,0.4318958155422716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,4684,0.0535866780529462,251,251,1.0,0,0.0007891298181758347,0.0007891298181758347,0.5567977428436279,0.0,0
2,20,1753095205.1237202,20,32,33,114,31,1.0,1.0,265,0.4470538001707942,1,1.0,1.7607922571057344,0.8803961285528672,3.1003893726835066,3.1003893726835066,0.0,0.0,265,4684,0.05657557643040137,489,265,1.8452830188679246,0,0.0007891298181758347,0.0015782596363516693,1.1247053146362305,0.0,0
3,20,1753095205.5911288,20,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.5869307523685782,-3.7670539700635146,3.433721671373511,-8.059267387225423,8.059267387225423,265,4684,0.05657557643040137,741,265,2.7962264150943397,0,0.0007891298181758347,0.002367389454527504,1.592113971710205,0.0,0
4,20,1753095206.0606225,20,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.4401980642764336,0.0,2.2891477809156737,8.024064589397419,8.041665988311422,265,4684,0.05657557643040137,993,265,3.7471698113207546,0,0.0007891298181758347,0.0031565192727033386,2.061607599258423,0.0,0
5,20,1753095206.5843036,20,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.3521584514211469,0.0,1.7168608356867554,0.0,5.361110658874281,265,4684,0.05657557643040137,1245,265,4.69811320754717,0,0.0007891298181758347,0.003945649090879173,2.5852887630462646,0.0,0
6,20,1753095207.1922514,20,32,35,114,31,3.0,2.0,295,0.47566182749786506,1,3.0,3.28978049718832,0.8417621257156758,5.411327859840315,2.455754240517467,8.90104042859724,6.246093101305021,295,4684,0.0629803586678053,1469,295,4.979661016949152,0,0.0007891298181758347,0.004734778909055008,3.1932365894317627,0.0,0
7,20,1753095207.7810125,20,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.7215103934705792,-5.5875576431919,2.977721474296539,-18.681157241823787,8.733105929408774,295,4684,0.0629803586678053,1723,295,5.840677966101695,0,0.0007891298181758347,0.0055239087272308425,3.7819976806640625,0.0,0
8,20,1753095208.3170676,20,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.6313215942867568,0.0,2.5523326922541765,10.423657363533861,9.014864501762956,295,4684,0.0629803586678053,1977,295,6.7016949152542376,0,0.0007891298181758347,0.006313038545406677,4.318052768707275,0.0,0
9,20,1753095208.9173899,20,32,36,114,31,4.0,1.0,310,0.48740392826643897,1,4.0,1.6657859107919932,0.7462620738984498,2.7748427005931102,2.5801464432965435,4.622293875312009,8.387354412269962,310,4684,0.06618274978650726,2217,310,7.151612903225806,0,0.0007891298181758347,0.007102168363582512,4.918375015258789,0.0,0
10,20,1753095209.5229518,20,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6716358665086049,-2.7508662917030042,2.599115315341706,-9.125114161543442,8.479574380929147,310,4684,0.06618274978650726,2472,310,7.974193548387097,0,0.0007891298181758347,0.007891298181758346,5.523936986923218,0.0,-0.5
11,20,1753095210.3176613,20,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.610578060462368,0.0,2.3392037838075352,3.4614306536790407,7.9220028556791355,310,4684,0.06618274978650726,2727,310,8.796774193548387,0,0.0009362785455199297,0.008827576727278276,6.318646430969238,0.0,0
